column_name,code_value,code_label,code_description,display_order,is_active,parent_code,state_transition
BAD_PHENOMENON,P1027,OCP TEST,OCP TEST,1080,Y,,
BAD_PHENOMENON,P1028,I2C FW read,I2C FW read,1080,Y,,
BAD_PHENOMENON,P1029,I2C Voltage input/output,I2C Voltage input/output,1080,Y,,
BAD_PHENOMENON,P1030,I2C current input/output,I2C current input/output,1080,Y,,
BAD_PHENOMENON,P1031,FCT Voltage output,FCT Voltage output,1080,Y,,
BAD_PHENOMENON,P1032,FCT Current Output,FCT Current Output,1080,Y,,
BAD_PHENOMENON,P1033,FCT Peak voltage output,FCT Peak voltage output,1080,Y,,
BAD_PHENOMENON,P1034,FCT Effciency,FCT Effciency,1080,Y,,
BAD_PHENOMENON,P1035,FCT Power Factor,FCT Power Factor,1080,Y,,
BAD_PHENOMENON,P1036,FCT Ripple and Noise,FCT Ripple and Noise,1080,Y,,
BAD_RATE_CONTROL,N,통제안함,통제안함,1078,Y,,
BAD_RATE_CONTROL,Y,불량통제함,불량통제함,1089,Y,,
BAD_REASON_CODE,A,외관불량,외관불량,1065,Y,,
BAD_REASON_CODE,B,기능불량,기능불량,1066,Y,,
BAD_REASON_CODE,C,규격불량,규격불량,1067,Y,,
BAD_REASON_CODE,D,1,1,1068,Y,,
BAKING_RESULT,F,FAIL,FAIL,1070,Y,,
BAKING_RESULT,P,PASS,PASS,1080,Y,,
BARCODE_STATUS,H,홀딩,홀딩,1072,Y,,
BARCODE_STATUS,N,정상,정상,1078,Y,,Y
BARCODE_TYPE,1,Code 11,Code 11,1,Y,,
BARCODE_TYPE,102,HIBC Data Matrix,HIBC Data Matrix,102,Y,,
BARCODE_TYPE,104,HIBC QR Code,HIBC QR Code,104,Y,,
BARCODE_TYPE,106,HIBC PDF417,HIBC PDF417,106,Y,,
BARCODE_TYPE,108,HIBC MicroPDF417,HIBC MicroPDF417,108,Y,,
BARCODE_TYPE,112,HIBC Aztec Code,HIBC Aztec Code,112,Y,,
BARCODE_TYPE,128,Aztec Runes,Aztec Runes,128,Y,,
BARCODE_TYPE,129,Code 32,Code 32,129,Y,,
BARCODE_TYPE,13,EAN,EAN,13,Y,,
BARCODE_TYPE,130,Composite Symbol with EAN linear component,Composite Symbol with EAN linear component,130,Y,,
BARCODE_TYPE,131,Composite Symbol with GS1-128 linear component,Composite Symbol with GS1-128 linear component,131,Y,,
BARCODE_TYPE,132,Composite Symbol with GS1 DataBar-14 linear component,Composite Symbol with GS1 DataBar-14 linear component,132,Y,,
BARCODE_TYPE,133,Composite Symbol with GS1 DataBar Limited component,Composite Symbol with GS1 DataBar Limited component,133,Y,,
BARCODE_TYPE,134,Composite Symbol with GS1 DataBar Extended component,Composite Symbol with GS1 DataBar Extended component,134,Y,,
BARCODE_TYPE,135,Composite Symbol with UPC A linear component,Composite Symbol with UPC A linear component,135,Y,,
BARCODE_TYPE,136,Composite Symbol with UPC E linear component,Composite Symbol with UPC E linear component,136,Y,,
BARCODE_TYPE,137,Composite Symbol with GS1 DataBar-14 Stacked component,Composite Symbol with GS1 DataBar-14 Stacked component,137,Y,,
BARCODE_TYPE,138,Composite Symbol with GS1 DataBar-14 Stacked Omnidirectional component,Composite Symbol with GS1 DataBar-14 Stacked Omnidirectional component,138,Y,,
BARCODE_TYPE,139,Composite Symbol with GS1 DataBar Expanded Stacked component,Composite Symbol with GS1 DataBar Expanded Stacked component,139,Y,,
BARCODE_TYPE,140,Channel Code,Channel Code,140,Y,,
