column_name,korean_name,description,code_values
CHECK_RESULT,검사결과,검사결과,"{""NG"": ""NG"", ""OK"": ""OK"", ""PASS"": ""PASS""}"
CHECK_SEQUENCE,검사항번,검사항번,
CHECK_START_DATE,검사시작일자,검사시작일자 (날짜),
CHECK_STATUS,@check_status,@check_status,"{""C"": ""처리중"", ""E"": ""오류"", ""P"": ""합격"", ""R"": ""대체"", ""W"": ""대기""}"
CHECK_SUM,체크썸,체크썸,
CHECK_SUMMARY,실사합계,실사합계,
CHECK_SUPPLIER_BARCODE,공급상바코드체크,공급상바코드체크 (코드 값),
CHECK_SYSTEM,시스템점검,시스템점검,
CHECK_TEMP,계측온도,계측온도,
CHECK_TIME,@check_time,@check_time,
CHECK_TYPE,오장착검사유형,오장착검사유형,"{""1"": ""CCS"", ""2"": ""릴교환"", ""3"": ""풀체크"", ""4"": ""릴체크""}"
CHECK_UNIT_PRICE,단가검사,단가검사,
CHECK_VALUE,,,"{""NG"": ""NG"", ""OK"": ""OK""}"
CHECK_WORKSTAGE_CODE,창고코드검사,창고코드검사 (코드 값),
CHECK_YN,체크 Y/N,체크 Y/N,"{""N"": ""아니오"", ""Y"": ""예""}"
CHECK_YYYYMM,실사년월,실사년월,
CHIEF_ACCOUNTANT,주관,주관,
CHIEF_MANAGER,승인,승인,
CHILD_AMT,자품목금액,자품목금액 (금액),
CHILD_DRAWING_NO,자품목도면번호,자품목도면번호,
CHILD_EMS_RATE,원료환산율,원료환산율,
CHILD_EMS_UOM,원료환산단위,원료환산단위,"{""G"": ""G"", ""KEA"": ""KEA"", ""KG"": ""KG""}"
CHILD_FOLDER_ID,하위폴더,하위폴더,
CHILD_HS_NAME,원료상품명,원료상품명,
CHILD_ITEM_CODE,자목록코드,자목록코드 (코드 값),
CHILD_ITEM_ITEM_TYPE,,,"{""M"": ""무상"", ""T"": ""자작"", ""Y"": ""유상""}"
CHILD_ITEM_LINE_TYPE,,,"{""A"": ""외부부품"", ""D"": ""도입구매"", ""F"": ""무상구매"", ""G"": ""국내구매"", ""L"": ""도입로칼"", ""M"": ""무상사급"", ""O"": ""OEM"", ""P"": ""도입(과세)"", ""T"": ""자작""}"
CHILD_ITEM_NAME,자품목명,자품목명,
CHILD_ITEM_QTY,자품목수량,자품목수량 (수량),
CHILD_ITEM_SPEC,자품목규격,자품목규격,
CHILD_ITEM_TYPE,자품목타입,자품목타입,"{""M"": ""무상"", ""T"": ""자작"", ""Y"": ""유상""}"
CHILD_ITEM_UOM,자품목단위,자품목단위,
CHILD_LINE_TYPE,자품목구입유형,자품목구입유형,"{""A"": ""외부부품"", ""D"": ""도입(면세)"", ""F"": ""무상구매"", ""G"": ""국내구매"", ""L"": ""도입로칼"", ""M"": ""무상사급"", ""O"": ""OEM"", ""P"": ""도입(과세)"", ""T"": ""자작""}"
CHILD_UNIT_PRICE,자품목단가,자품목단가,
CHINA,로컬,로컬,
CHINESE,로컬,로컬,
CHINESS,로컬,로컬,
CHIPNAME,자재코드(스캔),자재코드(스캔) (코드 값),
CHIP_NAME,칩이름,칩이름,
CHK,Chk,Chk,
CHLD_LINE_TYPE,,,"{""N"": ""내부거래""}"
CHOOSE_LOCATION,위치선택,위치선택,
CLASS,반조,반조,
CLASS_MANAGER,반장,반장,
CLEAN,세척,세척,
CLEAN_CHARGER,세척담당,세척담당,
CLEAN_CHECK_SPEC,세척상태판정,세척상태판정,
CLEAN_YN,세척유무,세척유무,
CLEAR,초기화,초기화,
CLEAR_DATA,초기화,초기화,
CLEAR_FILE,파일초기화,파일초기화,
CLEAR_HELP_VIDEO,동영상초기화,동영상초기화,
CLEAR_MOVIE_VIDEO,삭제,삭제,
CLIPBOARD,클립보드,클립보드,
CLIPBOARD_CTRL_L,클립보드...	CTRL+L,클립보드...	CTRL+L,
CLOSE,닫기,닫기,
CLOSE_ALL,전부닫기,전부닫기,
CLOSE_DATE,마감일자,마감일자 (날짜),
CLOSE_DETAIL,핵소신청서,핵소신청서,
CLOSE_MASTER,기업핵소신청서(표지),기업핵소신청서(표지),
CLOSE_OPTION,마감옵션,마감옵션,
CLOSE_WINDOW,닫기,닫기,
CLOSE_YN,닫임YN,닫임YN,
CLOSE_YYMM,마감년월,마감년월,
CLOSE_YYYY,마감년도,마감년도,
CLOSE_YYYYMM,@닫기_년월일,@닫기_년월일,
CLOSING,마감,마감,
CLOSING_DATE,마감일자,마감일자 (날짜),
CLOSING_FLAG,마감여부,마감여부,"{""N"": ""아니오"", ""Y"": ""예""}"
CM,CM,CM,
CMA,CMA,CMA,
CM_TEST_DATA_QUERY,CM 테스트데이터조회,CM 테스트데이터조회,
COATING_DATE_YYYYMMDD,PCB 도금일 (YYYYMMDD),PCB 도금일 (YYYYMMDD) (날짜),
COATING_RESULT_QUERY,코팅검사결과조회,코팅검사결과조회,
CODE,자재규격,자재규격 (코드 값),
CODE_128,번호128,번호128 (코드 값),
CODE_GROUP,코드그룹,코드그룹 (코드 값),
CODE_GROUP_SECOND,코드그룹(중),코드그룹(중) (코드 값),
CODE_GROUP_THIRD,코드그룹(소),코드그룹(소) (코드 값),
CODE_MEAN,코드의미,코드의미 (코드 값),
CODE_MEAN_ENG,코드의미(영),코드의미(영) (코드 값),
CODE_MEAN_KOR,코드의미(한),코드의미(한) (코드 값),
CODE_MEAN_LOCAL,코드의미(로컬),코드의미(로컬) (코드 값),
CODE_NAME,코드이름,코드이름 (코드 값),
CODE_NAME_DESCRIPTION,코드이름설명,코드이름설명 (코드 값),
CODE_NAME_DESCRIPTION_ENG,코드이름설명(영),코드이름설명(영) (코드 값),
CODE_NAME_DESCRIPTION_KOR,코드이름설명(한),코드이름설명(한) (코드 값),
CODE_NAME_DESCRIPTION_LOCAL,코드이름설명(중),코드이름설명(중) (코드 값),
CODE_TYPE,코드타입,코드타입 (코드 값),
CODE_TYPE_DESCRIPTION,코드타입설명,코드타입설명 (코드 값),
CODE_TYPE_DESCRIPTION_ENG,코드유형설명(영),코드유형설명(영) (코드 값),
CODE_TYPE_DESCRIPTION_KOR,코드유형설명(한),코드유형설명(한) (코드 값),
CODE_TYPE_DESCRIPTION_LOCAL,코드유형설명(로컬),코드유형설명(로컬) (코드 값),
CODE_TYPE_DESC_ENG,코드유형설명(영),코드유형설명(영) (코드 값),
CODE_TYPE_DESC_KOR,코드유형설명(한),코드유형설명(한) (코드 값),
CODE_TYPE_DESC_LOCAL,코드유형설명(로컬),코드유형설명(로컬) (코드 값),
COL,@col,@col,
COLLAPSE_ALL,전체축소,전체축소,
COLLECTION_AMT,미수금금액,미수금금액 (금액),
COLLECTION_CYCLE,,,"{""C"": ""현금"", ""L"": ""매월"", ""M"": ""15일"", ""T"": ""외상"", ""Y"": ""매년""}"
COLLECTION_DATE_CHANGE,회수일자변경,회수일자변경 (날짜),
COLLECTION_TYPE,,,"{""C"": ""현금"", ""E"": ""전자결제"", ""Z"": ""수표""}"
COLLECT_AMT,취합금액,취합금액 (금액),
COLLECT_ANALYSIS_BY_ITEM,회수율분석(품목),회수율분석(품목),
COLLECT_ANALYSIS_BY_MFS,회수율분석(제번),회수율분석(제번),
COLLECT_CANCEL,회수취소,회수취소,
COLLECT_DATE,회수일자,회수일자 (날짜),
COLLECT_DEFICIT,회수구분,회수구분,"{""1"": ""1입고"", ""2"": ""2입고반품""}"
COLLECT_INTERNAL_STATUS,징세내수현환,징세내수현환,
COLLECT_LIST,회수리스트,회수리스트,
COLLECT_MODE,징세특성,징세특성,
COLLECT_QTY,회수수량,회수수량 (수량),
COLLECT_RATE,회수율,회수율,
COLLECT_SEQUENCE,회수항번,회수항번,
COLLECT_STATUS,회수상태,회수상태,"{""C"": ""C취소"", ""N"": ""N정상""}"
COLLECT_TYPE,징세방식,징세방식,"{""A"": ""면세""}"
COLOR_FONT_OPTION,색갈철치관리,색갈철치관리,
COLUMN,컬럼,컬럼,
COLUMN_AUTO_LINK,컬럼자동연결,컬럼자동연결,
COLUMN_BACK_COLOR,컬럼배경색,컬럼배경색,
COLUMN_COPY_F8,컬럼값복사	F8,컬럼값복사	F8,
COLUMN_DESC,컬럼설명,컬럼설명,
COLUMN_DESCRIPTION,컬럼상세설명,컬럼상세설명,
COLUMN_DISABLE,컬럼비활성,컬럼비활성,
COLUMN_DISPLAY_SIZE,컬럼표시크기,컬럼표시크기,
COLUMN_ENABLE,컬럼활성화,컬럼활성화,
COLUMN_EXPLANATION,컬럼펼치기,컬럼설명,
COLUMN_EXPRESSION,컬럼조건,컬럼조건,
COLUMN_FORMAT,,,"{""#,##0"": ""#,##0"", ""#,##0.00"": ""#,##0.00"", ""#,##0.0000"": ""#,##0.0000"", ""#,##0.00000000"": ""#,##0.00000000"", ""YYYY/MM/DD"": ""YYYY/MM/DD"", ""[General]"": ""[General]""}"
COLUMN_FORMAT_F12,컬럼포맷	F12,컬럼포맷	F12,
COLUMN_HEIGHT,컬럼높이,컬럼높이,
COLUMN_HIDE,컬럼숨기기,컬럼숨기기,
COLUMN_INFORMATION,컬럼정보,컬럼정보,
COLUMN_LENGTH,컬럼길이,컬럼길이,
COLUMN_LIST,컬럼리스트,컬럼리스트,
COLUMN_MAPPING,컬럼매핑,컬럼매핑,
COLUMN_MEAN,컬럼의미,컬럼의미,
COLUMN_MEAN_ENG,명칭(영),명칭(영),
COLUMN_MEAN_KOR,명칭(한),명칭(한),
COLUMN_MEAN_LOCAL,명칭(중),명칭(중),
COLUMN_NAME,컬럼이름,컬럼이름,
COLUMN_NULLABLE,컬럼널혀용여부,컬럼널혀용여부,
COLUMN_ORDER,컬럼순서,컬럼순서,
COLUMN_PASTE_F9,컬럼값붙여넣기	F9,컬럼값붙여넣기	F9,
COLUMN_SCALE,컬럼스케일,컬럼스케일,
COLUMN_SPACE,컬럼간격,컬럼간격,
COLUMN_TEXT_COLOR,컬럼문자컬러,컬럼문자컬러,
COLUMN_TYPE,컬럼타입,컬럼타입,
COLUMN_WIDTH,컬럼폭,컬럼폭,
COMARISION_CONDITION,비교조건,비교조건,
COMBINATION_CHECK,조합체크,조합체크,
COMBINATION_YN,조합체크,조합체크,"{""N"": ""N"", ""Y"": ""Y""}"
COMMANTS,주석,주석,
COMMENT,설명,설명,
COMMENTS,설명,설명,
COMMERCIAL_INVOICE,무역인보이스,무역인보이스,
COMMNETS,주석,주석,
COMMODITY,상품,상품,
COMM_BAUDRATES,,,"{""115200"": ""115200"", ""19200"": ""19200"", ""9600"": ""9600"", ""NONE"": ""NONE""}"
COMM_DATABITS,,,"{""7"": ""7"", ""8"": ""8"", ""NONE"": ""NONE""}"
COMM_PARITYBITS,,,"{""1"": ""1"", ""N"": ""NONE""}"
COMM_PORTS,,,"{""1"": ""COM1"", ""10"": ""COM10"", ""11"": ""COM11"", ""12"": ""COM12"", ""13"": ""COM13"", ""14"": ""COM14"", ""15"": ""COM15"", ""16"": ""COM16"", ""17"": ""COM17"", ""18"": ""COM18"", ""19"": ""COM19"", ""2"": ""COM2"", ""3"": ""COM3"", ""4"": ""COM4"", ""5"": ""COM5"", ""6"": ""COM6"", ""7"": ""COM7"", ""8"": ""COM8"", ""9"": ""COM9"", ""NONE"": ""NONE""}"
COMM_STOPBITS,,,"{""1"": ""1"", ""N"": ""NONE""}"
COMPANY,회사,회사,
COMPANY_ADDRESS,회사주소,회사주소,
COMPANY_ATTENDANCE_MASTER,회사출근관리,회사출근관리,
COMPANY_CALENDAR,회사카렌더,회사카렌더,
COMPANY_CALENDAR_GENERATE,월력생성,월력생성,
COMPANY_CALENDAR_LIST,월력리스트,월력리스트,
COMPANY_CALENDAR_MASTER,월력관리,월력관리,
COMPANY_CALENDAR_REPORT,공장월력리포트,공장월력리포트,
COMPANY_CODE,회사코드,회사코드 (코드 값),"{""*"": ""*"", ""DY82"": ""DY82""}"
COMPANY_ENTER_DATE,입사일자,입사일자 (날짜),
COMPANY_FAX_NO,팩스번호,팩스번호,
COMPANY_INFO,회사정보,회사정보,
COMPANY_INFORMATION,회사정보,회사정보,
COMPANY_NAME,회사이름,회사이름,
COMPANY_NO,회사번호,회사번호,"{""0"": ""솔루엠""}"
COMPANY_TEL_NO,전화번호,전화번호,
COMPANY_WITHDRAW_DATE,퇴사일자,퇴사일자 (날짜),
COMPARE,비교,비교,
COMPARISION,비교,비교,
COMPARISON,비교,비교,
COMPARISON_LIST,비교리스트,비교리스트,
COMPARISON_STATUS,비교상태,비교상태,"{""A"": ""추가"", ""C"": ""수량변경"", ""D"": ""삭제"", ""M"": ""납기변경""}"
COMPLAINTS_COMMENT,설명,설명,
COMPLAINTS_DATE,컴플레인일자,컴플레인일자 (날짜),
COMPLAINTS_DIVISION,클레임구분,클레임구분,"{""C"": ""비용청구"", ""N"": ""대기"", ""P"": ""교체"", ""R"": ""재검의뢰"", ""W"": ""재작업""}"
COMPLAINTS_GRADE,등급,등급,"{""A"": ""고객In-Line"", ""B"": ""0 km"", ""C"": ""CS1000/10000"", ""D"": ""수입검사"", ""E"": ""기타""}"
COMPLAINTS_MASTER,컴플레인관리,컴플레인관리,
COMPLAINTS_NO,컴플레인번호,컴플레인번호,
COMPLAINTS_QTY,컴플레인수량,컴플레인수량 (수량),
COMPLAINT_NO,컴플레인번호,컴플레인번호,
COMPLETE,완료,완료,
COMPLETED,완료됨,완료됨,
COMPLETE_CHECK_YN,완료체크,완료체크,
COMPLETE_DATE,완료일자,완료일자 (날짜),
COMPLETE_FLAG,완료구분,완료구분,"{""N"": ""진행중"", ""Y"": ""완료""}"
COMPLETE_OK,완료성공,완료성공,
COMPLETE_YN,처리완료유무,처리완료유무,"{""A"": ""분석중"", ""C"": ""고객사의뢰"", ""N"": ""처리중"", ""W"": ""대기"", ""Y"": ""완료""}"
COMPONENT_QTY,단위수량,단위수량 (수량),
COMPUTER_LOGIN_USER,컴퓨터로그인유저,컴퓨터로그인유저,
COMPUTER_NAME,컴퓨터명,컴퓨터명,
COM_CD,회사구분,회사구분,
COM_MAT_COST_DIST_RULE,원가배부기준,원가배부기준,
CONDITION,조건,조건,
CONFIDENTIAL_DOCUMENT,내부문서,내부문서,
CONFIG,배치,배치,
CONFIG_CODE,배치코드,배치코드 (코드 값),
CONFIG_DESCRIPTION,환경상세,환경상세,
CONFIG_NAME,환경명,환경명,
CONFIG_RESET,설정초기화,설정초기화,
CONFIG_VALUE,환경값,환경값,
CONFIG_VALUE_DESCRIPTION,환경값상세,환경값상세,
CONFIRM,승인,승인,
CONFIRMED,확인완료,확인완료,
CONFIRMED_ACCEPTED_BY,승인접수자 :,승인접수자 :,
CONFIRMED_BY,확인자,확인자,
CONFIRMER1,작성자,작성자,
CONFIRMER2,확인자,확인자,
CONFIRMER3,승인자,승인자,
CONFIRM_ADD_RCV,가입고처리,가입고처리,
CONFIRM_ALL,승인,승인,
CONFIRM_AMT,승인금액,승인금액 (금액),
CONFIRM_BY,승인자,승인자,
CONFIRM_BY2,2차승인자,2차승인자,
CONFIRM_CANCEL,확정/취소,확정/취소,
CONFIRM_COMMENT,승인설명,승인설명,
CONFIRM_DATE,승인일자,승인일자 (날짜),
CONFIRM_DATE2,2차승인일자,2차승인일자 (날짜),
CONFIRM_LIST,승인리스트,승인리스트,
CONFIRM_STATUS,승인상태,승인상태,"{""N"": ""아니오"", ""W"": ""대기"", ""Y"": ""예""}"
CONFIRM_YN,승인YN,승인YN,"{""N"": ""아니오"", ""W"": ""대기"", ""Y"": ""예""}"
CONFIRM_YN2,2차승인여부,2차승인여부,
CONF_RATE,Conf Rate,Conf Rate,
CONNECT,연결,연결,
CONNECTOR_ITEM_CODE,컨넥터품목코드,컨넥터품목코드 (코드 값),
CONSIGNEE,접수일,접수일,
CONSULTATION_DEPT,Consultation Dept,Consultation Dept,
CONTACT,연락,연락,
CONTACT_NO,연락번호,연락번호,
CONTACT_TO,연락자,연락자,
CONTAINER_NO,컨테이너번호,컨테이너번호,
CONTENT,콘텐츠,콘텐츠,
CONTENTSCONTROL,컨텐츠조정,컨텐츠조정,
CONTENTSZOOMIN,컨텐츠확대,컨텐츠확대,
CONTENTSZOOMOUT,컨텐츠축소,컨텐츠축소,
CONTENT_LPN,Content Lpn,Content Lpn,
CONTENT_TYPE,통고타입,통고타입,"{""M"": ""금형수리통보"", ""S"": ""기술과통보""}"
CONTRACT_NO,계약번호,계약번호,
CONTROL,조작,조작,
CONV,변환,변환,
CONVERSION_AMT,표준가공비:,가공비금액 (금액),
CONVERSION_COST,가공비,가공비,
CONVERSION_COST_AMT,가공비금액,가공비금액 (금액),
CONVERSION_COST_DIST_RULE,가공비배부기준,가공비배부기준,
CONVERSION_COST_ELEMENT,가공비요소,가공비요소,
CONVERT,변환여부,변환여부,
CONVER_CHK,변경구분,변경구분,
CONVEYANCE,운송수단,운송수단,
COPY,복사,복사,
COPY_CONDITION,BOM 복사,BOM 복사,
COPY_DATA,복사,복사,
COPY_DATE,복사일자,복사일자 (날짜),
COPY_LINE,라인복사,라인복사,
COPY_PLAN,계획복사,계획복사,
COPY_ROW,행복사,행복사,
COPY_ST,ST복사,ST복사,
COPY_TO_NEXT_MONTH,차월로 복사,차월로 복사,
COST,원가,원가,
COST_AMT,원가금액,원가금액 (금액),
COST_ANALYSIS,원가분석,원가분석,
COST_BASIS_RULE,원가기준관리,원가기준관리,
COST_BASIS_RULE_LIST,원가기준조건리스트,원가기준조건리스트,
COST_CENTER_BILL_LIST,원가중심인보이스목록,원가중심인보이스목록,
COST_CENTER_CODE,코스트센터코드,코스트센터코드 (코드 값),
COST_CENTER_LIST,코스트센터리스트,코스트센터리스트,
COST_CENTER_MASTER,코스트센터관리,코스트센터관리,
COST_CENTER_NAME,코스트센터명,코스트센터명,
COST_CENTER_NAME_ENG,코스트센터명(영),코스트센터명(영),
COST_CENTER_NAME_KOR,코스트센터명(한),코스트센터명(한),
COST_CENTER_NAME_LOC,코스트센터명(중),코스트센터명(중),
COST_DISTRIBUTE_RULE_MASTER,비용배부기준관리,비용배부기준관리,
COST_ELEMENT,원가요소,원가요소,"{""D"": ""감가상각비"", ""DE"": ""직접제조경비"", ""DL"": ""직접노무비"", ""DM"": ""직접재료비"", ""ID"": ""간접노무비"", ""IE"": ""간접제조경비"", ""IM"": ""간접재료비"", ""S"": ""판매관리비""}"
COST_ELEMENT_LIST,원가요소리스트,원가요소리스트,
COST_ELEMENT_MASTER,원가요소관리,원가요소관리,
COST_KIND_CODE,원가종류코드,원가종류코드 (코드 값),
COST_SUM,원가합계,원가합계,
COST_WORK_CENTER_DIV,코스트센터구분,코스트센터구분,"{""C"": ""코스트센터"", ""W"": ""워크센터""}"
COUNT,건수,건수,
COUNT_OF_JIG_CODE,지그수량,지그수량 (코드 값),
COUNT_RUN_DATE,런일자건수,런일자건수 (날짜),
COUNT_RUN_NO,런건수,런건수,
COVERSIZE,Coversize,Coversize,
CREAR,삭제,삭제,
CREATE,생성,생성,
CREATED_BY,생성자,생성자,
CREATED_DATE,생성일자,생성일자 (날짜),
CREATE_BTTOM_ALL,BOT모델로부터생성,BOT모델로부터생성,
CREATE_BY,생성자,생성자,
CREATE_CONDITION,생성조건,생성조건,
CREATE_DATE,생성일자,생성일자 (날짜),
CREATE_MODE,생성모드,생성모드,
CREATE_NEW_CODE,신규품목생성,신규품목생성 (코드 값),
CREATE_PID,PID생성,PID생성,
CREATE_TOP_ALL,TOP모델로부터생성,TOP모델로부터생성,
CREATION_DATE,생성일자,생성일자 (날짜),
CREDIT,신용,신용,
CREDIT_AMOUNT,여신금액,여신금액 (금액),
CREDIT_GRADE,신용등급,신용등급,"{""A"": ""좋음"", ""B"": ""양호"", ""C"": ""C""}"
CRITERION_LIST,검사기준리스트,검사기준리스트,
CRITERION_MASTER,검사기준관리,검사기준관리,
CRITICAL_BAD,치명적불량,치명적불량,
CR_ACCOUNT_CODE,대변계정코드,대변계정코드 (코드 값),
CR_AMT,대변금액,대변금액 (금액),
CR_BALANCE,대변발란스,대변발란스,
CTRL_RESULT_QUERY,CTRL 결과조회,CTRL 결과조회,
CT_VALUE,CT 값,CT 값,
CUMULATIVE_QTY,누적수량,누적수량 (수량),
CUPSS_CRC,Cupss Crc,Cupss Crc,
CUR,통화.,통화.,
CURRENCY,통화.,통화,"{""CNY"": ""인민페"", ""HKD"": ""홍콩달러"", ""JPY"": ""엔화"", ""KRW"": ""원화"", ""MXN"": ""멕시코페소"", ""USD"": ""달러"", ""VND"": ""동"", ""WON"": ""원화""}"
CURRENTLY_IN_USE,,,"{""N"": ""미적용"", ""Y"": ""현재버전""}"
CURRENT_ACTUAL,현재실적,현재실적,
CURRENT_COST_AMT,지금가재료비금액,지금가재료비금액 (금액),
CURRENT_COST_AMT1,재료비(지)1,재료비(지)1 (금액),
CURRENT_COST_AMT10,재료비(지)10,재료비(지)10 (금액),
CURRENT_COST_AMT11,재료비(지)11,재료비(지)11 (금액),
CURRENT_COST_AMT12,재료비(지)12,재료비(지)12 (금액),
CURRENT_COST_AMT2,재료비(지)2,재료비(지)2 (금액),
CURRENT_COST_AMT3,재료비(지)3,재료비(지)3 (금액),
CURRENT_COST_AMT4,재료비(지)4,재료비(지)4 (금액),
CURRENT_COST_AMT5,재료비(지)5,재료비(지)5 (금액),
CURRENT_COST_AMT6,재료비(지)6,재료비(지)6 (금액),
CURRENT_COST_AMT7,재료비(지)7,재료비(지)7 (금액),
CURRENT_COST_AMT8,재료비(지)8,재료비(지)8 (금액),
CURRENT_COST_AMT9,재료비(지)9,재료비(지)9 (금액),
CURRENT_INVENTORY,현재고,현재고,
CURRENT_INVENTORY_DETAIL,헌재고상세,헌재고상세,
CURRENT_INVENTORY_LIST,현재고리스트,현재고리스트,
CURRENT_INVENTORY_QTY,현재고수량,현재고수량 (수량),
CURRENT_INVENTORY_QUERY,현재고조회,현재고조회,
CURRENT_INVENTORY_REPORT,현재고리포트,현재고리포트,
CURRENT_INVENTORY_SUMMARY,현재고합계,현재고합계,
CURRENT_MONTH,당월,당월,
CURRENT_MONTH_INVENTORY,당월재고,당월재고,
CURRENT_MONTH_ISSUE,당월출고,당월출고,
CURRENT_MONTH_RECEIPT,당월입고,당월입고,
CURRENT_MONTH_SHIPPING,당월판매,당월판매,
CURRENT_PAGE,현재페이지,현재페이지,
CURRENT_PRICE,단위지금가,단위지금가,
CURRENT_PRICE_LIST,지금가리스트,지금가리스트,
CURRENT_PRICE_MASTER,지금가관리,지금가관리,
CURRENT_STATUS,현재상태,현재상태,
CURRENT_WORKSTAGE_CODE,현공정코드,현공정코드 (코드 값),
CURR_COST_AMT,지금가금액,지금가금액 (금액),
CURR_ROW,현재형,현재형,
CUR_PASSED_TIME,현사용시간,현사용시간,
CUSOMER_ORDER_NO_ORIGIN,사용자지시기점,사용자지시기점,
CUSTOM,고객,고객,
CUSTOMER,고객,고객,
CUSTOMER_AUTO_SET,고객자동설정,고객자동설정,
CUSTOMER_BOOK,공급상장부,공급상장부,
CUSTOMER_BOOK_LIST,공급상거래내역,공급상거래내역,
CUSTOMER_BOOK_MANAGE,공급상관리,공급상관리,
CUSTOMER_CHANGE,고객변경,고객변경,
CUSTOMER_CHARGE_NAME,고객담당자이름,고객담당자이름,
CUSTOMER_CLOSE_YN,고객완료구분,고객완료구분,"{""N"": ""미완료"", ""Y"": ""완료""}"
CUSTOMER_CODE,@고객번호,@고객번호 (코드 값),
CUSTOMER_CODE_SUB_TOTAL,고객소계,고객소계 (코드 값),
CUSTOMER_COMPLAINTS_MANAGER,고객컴플레인관리,고객컴플레인관리,
CUSTOMER_COMPLAINTS_MASTER,고객컴플레인관리,고객컴플레인관리,
CUSTOMER_DOC,고객문서,고객문서,
CUSTOMER_DOCUMENT,고객관련문서,고객관련문서,
CUSTOMER_DOCUMENT_LIST,고객관련문서리스트,고객관련문서리스트,
CUSTOMER_ID,고객아이디,고객아이디,
CUSTOMER_IQC,고객 IQC,고객 IQC,
CUSTOMER_ISSUE_LIST,고객별판매리스트,고객별판매리스트,
CUSTOMER_ITEM_CODE,고객품목번호,고객품목번호 (코드 값),
CUSTOMER_LIST,고객리스트,고객리스트,
CUSTOMER_LIST_REPORT,고객기본정보리포트,고객기본정보리포트,
CUSTOMER_MANAGE,고객관리,고객관리,
CUSTOMER_MASTER,고객관리,고객관리,
CUSTOMER_MASTER_POPUP,고객팝업,고객팝업,
CUSTOMER_MODE,고객모댈,고객모댈,
CUSTOMER_MODEL_NAME,고객모델,고객모델,
CUSTOMER_MODEL_SUFFIX,고객모댈서픽스,고객모댈서픽스,
CUSTOMER_NAME,회사명,회사명,
CUSTOMER_NAME_ENG,고객명(내부용),고객명(내부용),
CUSTOMER_NAME_TAG_HELP,고객이름을 입력합니다.,고객이름을 입력합니다.,
CUSTOMER_ORDER_NO,고객주문번호,고객주문번호,
CUSTOMER_ORDER_NO_ORIGIN,고객주문번호(원),고객주문번호(원),
CUSTOMER_O_N,수주번호,수주번호,
CUSTOMER_O_N_ORIGIN,고객주문번호,고객주문번호,
CUSTOMER_PART_NO,고객품목코드,고객품목코드 (코드 값),
CUSTOMER_REPORT,고객리포트,고객리포트,
CUSTOMER_SET_BOM_LIST,고객모델 BOM 리스트,고객모델 BOM 리스트,
CUSTOMER_SET_BOM_MASTER,고객모델 BOM 관리,고객모델 BOM 관리,
CUSTOMER_SHIPPING_RATE,고객판매율,고객판매율,
CUSTOMER_STATUS,고객거래상태,고객거래상태,
CUSTOMER_SUB_TOTAL,고객소계,고객소계,
CUSTOMER_SUM,고객합계,고객합계,
CUSTOMER_SUMMARY,고객별합계,고객별합계,
CUSTOMS_CODE,세관코드,세관코드 (코드 값),"{""1213940119"": ""천진세관"", ""4200"": ""칭도세관"", ""5300"": ""深？海？"", ""5307"": ""남두해관""}"
CUSTOMS_PORT,무역항,무역항,"{""0100"": """", ""0200"": """", ""0201"": ""천진항"", ""0202"": """", ""0207"": """", ""4204"": ""위해세관""}"
CUSTOM_CODE,세관코드,세관코드 (코드 값),
CU_UNIT_WEIGHT,동단위중량,동단위중량,
CV_SPEED,Cv 속도,Cv 속도,
CY,Cy,Cy,
CYCLE_DAY,회전일수,회전일수,
CYCLE_TIME,싸이클타임,싸이클타임,
CY_CODE,Cy 코드,Cy 코드 (코드 값),
C_COATING_THICKNESS_TESTER,C.코팅두께테스트,C.코팅두께테스트,
C_LIPBOARD_CTRL_L,클립보드...	Ctrl+L,클립보드...	Ctrl+L,
C_PCB_SERIAL_NO,PCB 바코드,PCB 바코드 (코드 값),
C_SPACING,컬럼간격,컬럼간격,
C_URGENCY,C일반사항,C일반사항,
C_UT_CTRL_DEL,잘라내기	Ctrl+Del,잘라내기	Ctrl+Del,
C_WORKSTAGE_CODE,실적공정코드,실적공정코드 (코드 값),
D,,,"{""CS10000"": ""CS10000"", ""데스크탑"": ""데스크탑""}"
DA,Da,Da,
DAILY,일간,일간,
DAILY_ASSEMBLY_PLAN_VS_ACTUAL_BY_CHARGER_REPORT,설비별일일작업일보,설비별일일작업일보,
DAILY_CARRYING_OUT_ANALYSIS_MATRIX,일일반출분석(매트릭스),일일반출분석(매트릭스),
DAILY_CARRYING_OUT_MATRIX,월간반출(매트릭스),월간반출(매트릭스),
DAILY_CASHBOOK_REPORT,일일자금일보,일일자금일보 (날짜),
DAILY_CHECK_SHEET,일일체크시트,일일체크시트,
DAILY_INVENTORY,일일재고리포트,일일재고리포트,
DAILY_INVENTORY_CLOSE_REPORT,일일재고마감리포트,일일재고마감리포트,
DAILY_INVENTORY_RECYCLE_DAY_ANALYSIS_REPORT,일일재고회전일수/금액분석 리포트,일일재고회전일수/금액분석 리포트 (금액),
DAILY_INVENTORY_RECYCLE_DAY_ANANLISYS_REPORT,창고재고금액합계,창고재고금액합계 (금액),
DAILY_ITEM_INVENTORY_REPORT_DAILY,일자별품목재고리포트,일자별품목재고리포트 (날짜),
