column_name,korean_name,description,code_values
ACTUAL_BARCODE,실적(바코드),실적(바코드) (코드 값),
ACTUAL_BY_LINE,라인별 실적,라인별 실적,
ACTUAL_CANCEL,최소확인,최소확인,
ACTUAL_DATE,@actual_date,@actual_date (날짜),
ACTUAL_DATE_OPTION,실적일자옵션,실적일자옵션 (날짜),
ACTUAL_DIO,실적(DIO),실적(DIO),
ACTUAL_DIV,구분,구분,
ACTUAL_EFFICIENCY,생산효율,생산효율,
ACTUAL_END_DATE,실적종료일자,실적종료일자 (날짜),
ACTUAL_END_TIME,실적종료시간,실적종료시간,
ACTUAL_FROM_DIV,생산실적유형,생산실적유형,
ACTUAL_HISTORY,실적이력,실적이력,
ACTUAL_INOUT_DIV,실적입출구분,실적입출구분,
ACTUAL_INOUT_TIME,실적투입시간,실적투입시간,
ACTUAL_INVENTORY_LIST,실제재고리스트,실제재고리스트,
ACTUAL_LINE_CODE,조립라인코드,조립라인코드 (코드 값),
ACTUAL_LINE_NAME,조립라인명,조립라인명,
ACTUAL_LIST,생산실적리스트,생산실적리스트,
ACTUAL_MANAGEMENT,실적관리,실적관리,
ACTUAL_MANAGEMENT_DAY,일별 현황,일별 현황,
ACTUAL_MANAGEMENT_MONTH,월별 현황,월별 현황,
ACTUAL_MENU,실적관리메뉴,실적관리메뉴,
ACTUAL_MOVING_DATE,실적이동일자,실적이동일자 (날짜),
ACTUAL_MOVING_INVOICE,전표번호,전표번호,
ACTUAL_MOVING_QTY,실적이동수량,실적이동수량 (수량),
ACTUAL_MOVING_SEQUENCE,실적이동순서,실적이동순서,
ACTUAL_MOVING_STATUS,실적이동상태,실적이동상태,
ACTUAL_OUTPUT,실적수출,실적수출,
ACTUAL_OUTPUT_INVENTORY,실적수출량,실적수출량,
ACTUAL_OUTPUT_INVENTORY_QUERY,실적수출량조회,실적수출량조회,
ACTUAL_OUTPUT_INVNETORY_MASTER,설적수출량관리,설적수출량관리,
ACTUAL_PLC_ADDRESS,PLC 주소,PLC 주소,
ACTUAL_PRODUCTION_TIME,실제생산시간(분),실제생산시간(분),
ACTUAL_QTY,실적수량,실적수량 (수량),
ACTUAL_QTY_SUM,실적수량합계,실적수량합계 (수량),
ACTUAL_RATE,달성율,달성율,
ACTUAL_RATE_S,달성율,달성율,
ACTUAL_REMAIN,잔량,잔량,
ACTUAL_REPORT,실적리포트,실적리포트,
ACTUAL_RESET,실적재설정,실적재설정,
ACTUAL_SERIAL_COMM_OPTION,통신옵션,통신옵션,
ACTUAL_START_DATE,실적시작일자,실적시작일자 (날짜),
ACTUAL_START_TIME,실적시작시간,실적시작시간,
ACTUAL_STATUS,실적상태,실적상태,
ACTUAL_SUM,실적누계,실적누계,
ACTUAL_TIME,시간,시간,
ACTUAL_WAIT_QTY,실적대기수량,실적대기수량 (수량),
AD17,기타수당,기타수당,
