column_name,korean_name,description,business_rule,sample_values,unit,is_code_column,aggregation_functions,is_sensitive
ACQUISITION_TYPE,취득유형,취득유형,,,,Y,,N
ACTION_CLOSE_YN,처리종료여부,처리종료여부,,,,Y,,N
ACTION_CODE,처리코드,처리코드 (코드 값),,,,Y,,N
ACTION_CONFIRM,처리확인,처리확인,,,,N,,N
ACTION_DATE,발생일자,발생일자 (날짜),,,,N,"MIN,MAX",N
ACTION_HISTORY,처리이력,처리이력,,,,N,,N
ACTION_HISTORY_FOR_NG_SOUND,이상발생 모니터링,이상발생 모니터링,,,,N,,N
ACTION_HISTORY_FOR_THE_NG_SOUND,NG 음성 처리이력,NG 음성 처리이력,,,,N,,N
ACTIVE,작업중,작업중,,,,N,,N
ACTIVE_BY_WORKSTAGE,공정별현재생산,공정별현재생산,,,,N,,N
ACTIVE_CANCEL,작업취소,작업취소,,,,N,,N
ACTIVE_DATE,작업시작일자,작업시작일자 (날짜),,,,N,"MIN,MAX",N
ACTIVE_YN,활성유무,활성유무,,,,Y,,N
ACTUAL,실적,실적,,,,N,,N
ACTUAL_ADJUST,실적조정,실적조정,,,,N,,N
ACTUAL_AUTO_RETRIEVE,실적자동조회,실적자동조회,,,,N,,N
ACTUAL_BARCODE,실적(바코드),실적(바코드) (코드 값),,,,Y,,N
ACTUAL_BY_LINE,라인별 실적,라인별 실적,,,,N,,N
ACTUAL_CANCEL,최소확인,최소확인,,,,N,,N
ACTUAL_DATE,@actual_date,@actual_date (날짜),,,,N,"MIN,MAX",N
ACTUAL_DATE_OPTION,실적일자옵션,실적일자옵션 (날짜),,,,N,"MIN,MAX",N
ACTUAL_DIO,실적(DIO),실적(DIO),,,,N,,N
ACTUAL_DIV,구분,구분,,,,Y,,N
ACTUAL_EFFICIENCY,생산효율,생산효율,,,,N,,N
ACTUAL_END_DATE,실적종료일자,실적종료일자 (날짜),,,,N,"MIN,MAX",N
ACTUAL_END_TIME,실적종료시간,실적종료시간,,,,N,"MIN,MAX",N
ACTUAL_FROM_DIV,생산실적유형,생산실적유형,,,,Y,,N
ACTUAL_HISTORY,실적이력,실적이력,,,,N,,N
ACTUAL_INOUT_DIV,실적입출구분,실적입출구분,,,,Y,,N
ACTUAL_INOUT_TIME,실적투입시간,실적투입시간,,,,N,"MIN,MAX",N
ACTUAL_INVENTORY_LIST,실제재고리스트,실제재고리스트,,,,N,,N
ACTUAL_LINE_CODE,조립라인코드,조립라인코드 (코드 값),,,,Y,,N
ACTUAL_LINE_NAME,조립라인명,조립라인명,,,,N,,N
ACTUAL_LIST,생산실적리스트,생산실적리스트,,,,N,,N
ACTUAL_MANAGEMENT,실적관리,실적관리,,,,N,,N
